field,disturbance_num,disturbance_type,month_season,day_in_date,target,recovery_days
lower_barberry,1,graze,June,6/10/2025,24,
lower_underhill,1,graze,June,6/13/2025,24,
sunset_field,3,graze,June,6/16/2025,24,35
sunset_hill,3,graze,June,6/19/2025,24,38
pond_field,2,graze,June,6/25/2025,24,45
horse,2,graze,July,6/28/2025,30,39
lower_home,3,graze,July,7/7/2025,30,47
triangle_lower,2,graze,July,7/10/2025,30,44
railroad,2,graze,July,7/13/2025,30,44
drainage,2,graze,July,7/16/2025,30,36
lower_underhill,2,graze,August,7/30/2025,36,44
lower_barberry,2,graze,August,8/3/2025,36,51
underhill,1,graze,August,8/6/2025,36,
barberry_woods,1,graze,August,8/16/2025,36,
bull,2,graze,August,8/18/2025,36,12
sunset_field,4,graze,August,8/21/2025,36,66
sunset_hill,4,graze,August,8/24/2025,36,66
pond_field,3,graze,September,8/28/2025,42,61
horse,3,graze,September,9/2/2025,42,57
lower_home,4,graze,September,9/8/2025,42,63
triangle_lower,3,graze,September,9/10/2025,42,59
triangle_upper,1,graze,September,9/13/2025,42,
railroad,3,graze,September,9/17/2025,42,63
briar,3,graze,September,9/19/2025,42,99
drainage,3,graze,October,10/3/2025,,65
lower_barberry,4,graze,October,10/13/2025,,68
barberry_woods,2,graze,October,10/16/2025,,59
wilson,2,graze,October,10/19/2025,,127
underhill,2,graze,October,10/25/2025,,70
underhill_wet,2,graze,October,10/30/2025,,85
bull,3,graze,November,11/6/2025,,80
leos,1,hay,June,6/3/2025,24,
plains,1,hay,June,6/5/2025,24,
plains,2,hay,July,7/25/2025,30,49
lamson_north,1,hay,June,6/3/2025,24,
williams_west,1,hay,June,6/11/2025,24,
williams_1a,1,hay,June,6/9/2025,24,
wilson,1,hay,June,6/12/2025,24,
briar,2,hay,June,6/11/2025,24,50
POW_east,1,hay,June,6/23/2025,24,
jimmys,1,hay,June,6/23/2025,24,
white_cottage,1,hay,June,6/23/2025,24,
playground,1,hay,July,7/14/2025,30,
lamson_middle,1,hay,July,7/13/2025,30,
leos,2,hay,July,7/28/2025,30,55
lower_sunset,2,hay,July,7/28/2025,30,83
williams_west,2,hay,August,6/11/2025,24,54
wilson_wet,1,hay,August,8/19/2025,36,
broad_meadow_1a,1,hay,August,8/6/2025,36,
underhill_veg_perimeter,1,hay,August,8/6/2025,36,
underhill_wet,1,hay,August,8/6/2025,36,
lamson_hill,1,hay,August,8/11/2025,36,
lamson_north,2,hay,August,8/11/2025,36,69
broad_meadow_dry,1,hay,August,8/19/2025,36,
GP8B,2,hay,August,8/27/2025,36,121
GP1A,4,mow,August,8/6/2025,36,35
GP1B,2,mow,August,8/6/2025,36,36
GP2A,2,mow,August,8/6/2025,36,39
sunset_hill,2,mow,May,5/12/2025,18,9
sunset_field,2,mow,May,5/12/2025,18,11
crabby,1,mow,May,5/21/2025,18,
lower_home,2,mow,May,5/21/2025,18,1
GP6A,3,mow,July,7/29/2025,30,23
GP6C,3,mow,July,7/29/2025,30,9
GP5D,3,mow,July,7/29/2025,30,7
bull,1,mow,August,8/6/2025,36,
lower_barberry,3,mow,August,8/6/2025,36,3
GP4A,3,mow,August,8/19/2025,36,9
GP4B,3,mow,August,8/19/2025,36,10
GP4C,3,mow,August,8/19/2025,36,11
